max_Accel_X,min_Accel_X,range_Accel_X,mean_Accel_X,std_Accel_X,rms_Accel_X,skew_Accel_X,kurtosis_Accel_X,fft_peak_Accel_X,fft_mean_Accel_X,max_Accel_Y,min_Accel_Y,range_Accel_Y,mean_Accel_Y,std_Accel_Y,rms_Accel_Y,skew_Accel_Y,kurtosis_Accel_Y,fft_peak_Accel_Y,fft_mean_Accel_Y,max_Accel_Z,min_Accel_Z,range_Accel_Z,mean_Accel_Z,std_Accel_Z,rms_Accel_Z,skew_Accel_Z,kurtosis_Accel_Z,fft_peak_Accel_Z,fft_mean_Accel_Z,Activity,Person
-0.3352183136533419,0.8098899176564327,-0.5244529843570993,0.990635134858415,-0.5214204167241563,-0.4577870360855651,0.48665750605566593,-0.6303734499551122,-1.0358591442567424,-0.49687370468960546,-1.1043892174044383,0.7811975794607511,-0.9066499990883619,-0.34528382057795276,-0.8374941229457609,-0.815852325056585,0.5441422163076215,-0.8370575693797304,-0.9604775954386027,-0.7929246692038513,-0.5164601600081695,0.6204298616540055,-0.6480787912578778,0.18848302482608745,-0.7015364924554383,-0.6986201017954282,0.1330527843690938,-0.26394200179615024,-0.917429415605116,-0.7241912593122688,Walking,Alisa
-0.5131172138573509,0.7205427206164472,-0.6434187812433005,-0.268080543762753,-0.6727155300823178,-0.6886540638150128,-0.6522702772964705,-0.282529141221103,2.8530882412538143,-0.6169592048255196,-0.4452817803056613,0.8192153676360019,-0.7579637008393837,0.3726491363872814,-0.8280878083650244,-0.8418302447947082,2.815712743122516,1.6202304187162606,-0.9604775954386027,-0.7632029929851484,-0.5609541795791344,0.7259416278610862,-0.732768594415076,0.40019303970059494,-0.6965930737678125,-0.674583177038337,0.2792565911565918,-0.7432700008452453,-0.917429415605116,-0.6541458513956017,Walking,Alisa
-0.3821477779372831,0.898949803726819,-0.5904087798792979,-0.12665023026700628,-0.6605027475284727,-0.6755900574129229,1.2587794661102005,0.9644364492371656,0.5197198099474802,-0.6172832078330082,-0.8943875449719246,0.7801731962744989,-0.8490525297730236,-0.14229850187893844,-0.7274947998655082,-0.7299609790785094,0.9237944487337982,-0.9265814765513922,-0.9604775954386027,-0.7126577395723039,-0.40712414200112373,0.760604611736839,-0.6613800642761479,0.04315059504527602,-0.688088124153423,-0.6945240714025931,1.0510167167129416,-0.11418325611880048,-0.917429415605116,-0.6645902446652655,Walking,Alisa
-0.2552491991906515,-0.07343514386198244,-0.1875012184963917,-0.6290178637370769,-0.2335197288402459,-0.24720807240296147,0.07786617171916133,-0.10541417688362581,-1.0358591442567424,-0.25167955858980123,-0.07705445133500026,0.6887006130611196,-0.556798698778678,-0.7987544235504515,-0.6064921853140341,-0.5633852049400542,2.712679009960105,1.2052109836912086,-0.9604775954386027,-0.5137389457869259,-0.08977776870531277,0.7089022909146389,-0.44581339531457786,0.9429402985441883,-0.5339310889899083,-0.46157372018960413,1.3681295441549781,0.5236178194151899,-0.917429415605116,-0.33703424917595026,Walking,Alisa
-0.4883369708303557,0.47994161339219976,-0.5491722991414034,-0.2704621069299003,-0.5708815359654579,-0.5875533647930058,-0.22761382609989136,-0.577563283830312,-0.25806966715463114,-0.5668335606371636,-0.5432500883214202,0.7515049380088492,-0.7317684208647111,0.3166837208755715,-0.6506483935174507,-0.6661988786350572,1.2296633963752295,-0.6649235611167537,-0.09223536447873909,-0.6983595140850853,-0.36175164754847644,-0.05781333132493249,-0.1810168967142478,0.05575133359152342,-0.013157892377403758,-0.034487181227345516,-0.8063962081462093,-0.4209813228534145,-0.270371306297212,-0.2885607679895452,Walking,Alisa
-0.40404428246184426,0.902817948951414,-0.6096146366671181,0.021545133700557325,-0.6386022533167656,-0.6496153343921032,0.9368712792060123,0.11780081441829558,-0.25806966715463114,-0.6385073414129226,-0.4632435334540758,0.7243894387897052,-0.6890269219724005,0.08964358388316518,-0.6475057170712917,-0.6608420034761736,1.1903768543907087,-0.49833565073402236,-0.09223536447873909,-0.6365991656967778,-0.3543369749918674,0.29287597760089756,-0.3710330341043049,0.3022156344969748,-0.3882518723219288,-0.3909694663926586,-0.3861924852063999,-0.19294275739543648,-0.270371306297212,-0.43400417479014236,Walking,Alisa
-0.5105795977689577,0.7524986693829175,-0.651139800537169,-0.21806894595496257,-0.6392460144846394,-0.6554837200843295,-0.015467301798023896,-0.6411956424688813,-0.25806966715463114,-0.6321746132611212,-0.6885810738814698,0.7076135930186677,-0.7369199548774332,0.19582889824598654,-0.6873114525067862,-0.7021064517713532,0.9756332494965451,-0.5447368480234027,-0.09223536447873909,-0.7367391175013221,-0.42983611567615126,0.011433319370751748,-0.25949950190650684,-0.2399150559132042,-0.20486436673169856,-0.22559982008529642,-1.0764174596525387,0.005073345146474882,1.023744912318596,-0.08435198695982549,Walking,Alisa
-0.5036094379273724,0.8933779061177569,-0.6886484314256116,-0.40023831006200905,-0.6595305996029943,-0.6733760050862037,0.49845949282622715,-0.611316524953995,-1.0358591442567424,-0.6503919069851669,-0.42376624666478263,0.7276863493735755,-0.6809149948149448,0.3496989953008418,-0.5919886175837313,-0.6077979980499545,1.2402137690908626,-0.6133980991268618,-0.09223536447873909,-0.7229441847843984,-0.5844828817253687,0.07515406427079505,-0.38590207035371127,-0.5174645777273439,-0.37923490636384805,-0.39176809638298626,-1.2170909028030357,0.17634505912125298,-0.270371306297212,-0.48293511852437954,Walking,Alisa
-0.5228650143704522,0.7854371964303791,-0.6713602086420295,-0.07647942859629821,-0.6740052739387886,-0.687747373796393,-0.5014115817274234,-0.4723070506552655,-1.0358591442567424,-0.6653318619696523,-0.27468718977682927,0.7456100030831618,-0.6545412446655117,0.642227516712086,-0.6121665720236854,-0.6214399503047883,1.0346116169956086,-0.6015142832863614,-0.09223536447873909,-0.6907010299238214,-0.37822894099871784,-0.13931432655723383,-0.14554649284219615,-0.43160631290193746,-0.18277609776479256,-0.20175843368025614,-0.9847507294015955,0.11572945606624088,1.023744912318596,-0.33878512581946696,Walking,Alisa
-0.44034730094973507,0.8433103160851723,-0.6212216727759456,0.7759292139127467,-0.5788199291774648,-0.53186717388125,-0.21687719660686092,-0.7046215824603186,-1.0358591442567424,-0.550803722983016,-0.6223444051973002,0.7434516391075887,-0.7468942843671013,0.16549246506259663,-0.681642374283089,-0.6960773050531888,1.1245987822572598,-0.641756401059978,-0.09223536447873909,-0.7248036618266255,-0.4064085124113305,0.2748081031524955,-0.39168697497305904,0.48953363130472166,-0.3668260409613749,-0.3580194469839528,-1.1814722796248536,0.02112300084411013,1.6708030216265002,-0.4473668717560654,Walking,Alisa
